code,name_ua
stateRegionalDevelopmentStrategy,Державна стратегія регіонального розвитку України
crimeaDevelopmentProgram,"Програма економічного і соціального розвитку Автономної Республіки Крим, області, району, міста Києва та Севастополя, територіальної громади"
communityDevelopmentStrategyPlan,План заходів з реалізації стратегій розвитку територіальних громад
communityRestorationProgram,Програма комплексного відновлення території територіальної громади
localRegionalRestorationPlan,План відновлення та розвитку регіонів
sphereDevelopmentStrategy,Стратегії розвитку сфери
integratedDevelopmentConcept,Концепція інтегрованого розвитку території територіальної громади
stateRegionalDevelopmentStrategyPlan,План заходів з реалізації Державної стратегії регіонального розвитку України
localRegionalDevelopmentStrategyPlan,План заходів з реалізації регіональної стратегії розвитку
govActivityProgram,Програма діяльності Кабінету Міністрів України
urbanTerritoryDesign,План реалізації містобудівної документації (схема планування території області)
areaRestorationProgram,Програма комплексного відновлення області
communityRestorationPlan,План відновлення та розвитку територіальних громад
territorySpecificPlan,План реалізації містобудівної документації (детальний план території)
govPriorityPlan,План пріоритетних дій Уряду
localRegionalDevelopmentStrategy,Регіональна стратегія розвитку
localRegionalDevelopmentProgram,Програма регіонального розвитку
communityDevelopmentStrategy,Стратегія розвитку територіальної громади
urbanSpatialDevelopment,План реалізації містобудівної документації (комплексний план просторового розвитку території територіальної громади)
settlementGeneralPlan,План реалізації містобудівної документації (генеральний план населеного пункту)